,Sale_Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,No of Times Visited,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),luxury_house,Years Since Renovation,Condition_of_the_House_1,Condition_of_the_House_3,Waterfront_View_Yes,Ever_Renovated_Yes,zip_table_group_zipcodegrp1,zip_table_group_zipcodegrp2,zip_table_group_zipcodegrp3,zip_table_group_zipcodegrp4,zip_table_group_zipcodegrp5,zip_table_group_zipcodegrp6,zip_table_group_zipcodegrp7,zip_table_group_zipcodegrp8,zip_table_group_zipcodegrp9
31,280000.0,2.0,1.5,1190.0,1265.0,3.0,0,7,1190.0,0,13,47.7274,-122.35700000000001,1390.0,1756,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32,687500.0,4.0,1.75,2330.0,5000.0,1.5,0,7,1510.0,820,89,47.6823,-122.368,1460.0,5000,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
33,535000.0,3.0,1.0,1090.0,3000.0,1.5,0,8,1090.0,0,89,47.6889,-122.375,1570.0,5080,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34,322500.0,4.0,2.75,2060.0,6659.0,1.0,0,7,1280.0,780,37,47.4276,-122.15700000000001,2020.0,8720,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
35,696000.0,3.0,2.5,2300.0,3060.0,1.5,0,8,1510.0,790,88,47.6827,-122.31,1590.0,3264,No,15,1,0,0,1,0,0,0,1,0,0,0,0,0
36,550000.0,4.0,1.0,1660.0,34848.0,1.0,0,5,930.0,730,85,47.6621,-122.132,2160.0,11467,No,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,640000.0,4.0,2.0,2360.0,6000.0,2.0,0,8,2360.0,0,114,47.6702,-122.36200000000001,1730.0,4700,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,240000.0,4.0,1.0,1220.0,8075.0,1.0,0,7,890.0,330,49,47.3341,-122.28200000000001,1290.0,7800,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,605000.0,4.0,2.5,2620.0,7553.0,2.0,0,8,2620.0,0,22,47.5301,-122.18,2620.0,11884,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
40,625000.0,4.0,2.5,2570.0,5520.0,2.0,0,9,2570.0,0,18,47.6145,-122.027,2470.0,5669,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
41,775000.0,4.0,2.25,4220.0,24186.0,1.0,0,8,2600.0,1620,34,47.445,-122.34700000000001,2410.0,30617,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
42,861990.0,5.0,2.75,3595.0,5639.0,2.0,0,9,3595.0,0,4,47.6848,-122.016,3625.0,5639,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
43,685000.0,3.0,1.0,1570.0,2280.0,2.0,0,7,1570.0,0,96,47.6413,-122.36399999999999,1580.0,2640,No,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,309000.0,3.0,1.0,1280.0,9656.0,1.0,0,6,920.0,360,59,47.4485,-122.175,1340.0,8808,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,488000.0,3.0,2.5,3160.0,13603.0,2.0,0,8,3160.0,0,15,47.7443,-121.977,3050.0,9232,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
46,210490.0,3.0,1.0,990.0,8528.0,1.0,0,6,990.0,0,52,47.3066,-122.37100000000001,1228.0,8840,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,785000.0,4.0,2.5,2290.0,13416.0,2.0,0,9,2290.0,0,37,47.6194,-122.15100000000001,2680.0,13685,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
48,450000.0,3.0,1.75,1250.0,5963.0,1.0,0,7,1250.0,0,65,47.6796,-122.301,970.0,5100,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
49,1129575.0,3.0,2.5,2753.0,65005.0,1.0,2,9,2165.0,588,65,47.4041,-122.45100000000001,2680.0,72513,Yes,0,0,1,1,0,0,1,0,0,0,0,0,0,0
50,228000.0,3.0,1.0,1190.0,9199.0,1.0,0,7,1190.0,0,63,47.4258,-122.322,1190.0,9364,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,345000.0,5.0,2.5,3150.0,9134.0,1.0,0,8,1640.0,1510,52,47.4934,-122.189,1990.0,9133,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
52,600000.0,3.0,1.75,1410.0,4080.0,1.0,0,7,1000.0,410,68,47.6808,-122.384,1410.0,4080,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
53,585000.0,2.0,1.75,1980.0,8550.0,1.0,0,7,990.0,990,37,47.6989,-122.369,1480.0,6738,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
54,920000.0,5.0,2.25,2730.0,6000.0,1.5,0,8,2130.0,600,91,47.6571,-122.281,2730.0,6000,No,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,885000.0,4.0,2.5,2830.0,5000.0,2.0,0,9,2830.0,0,23,47.6597,-122.29,1950.0,5000,No,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,292500.0,4.0,2.5,2250.0,4495.0,2.0,0,7,2250.0,0,10,47.3663,-122.11399999999999,2250.0,4500,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,301000.0,3.0,2.5,2420.0,4750.0,2.0,0,8,2420.0,0,15,47.3663,-122.12200000000001,2690.0,4750,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,951000.0,5.0,3.25,3250.0,14342.0,2.0,4,8,3250.0,0,50,47.588,-122.116,2960.0,11044,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
59,430000.0,4.0,3.0,1850.0,9976.0,2.0,0,8,1850.0,0,27,47.5059,-122.149,2270.0,8542,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
60,650000.0,3.0,2.25,2150.0,21235.0,1.0,3,8,1590.0,560,59,47.4336,-122.339,2570.0,18900,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
61,289000.0,3.0,1.75,1260.0,8400.0,1.0,0,7,1260.0,0,64,47.4366,-122.335,1290.0,8750,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,505000.0,3.0,1.75,2519.0,8690.0,2.0,0,8,2519.0,0,45,47.4428,-122.344,2500.0,9500,No,0,0,1,0,0,0,1,0,0,0,0,0,0,0
63,549000.0,3.0,1.75,1540.0,1044.0,3.0,0,8,1540.0,0,4,47.6765,-122.32,1580.0,3090,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
64,425000.0,3.0,2.25,1660.0,6000.0,1.0,0,7,1110.0,550,39,47.6113,-122.29700000000001,1440.0,4080,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
65,317625.0,3.0,2.75,2770.0,3809.0,1.5,0,7,1770.0,1000,93,47.5747,-122.304,1440.0,4000,No,0,0,1,0,0,0,0,1,0,0,0,0,0,0
66,975000.0,4.0,2.5,2720.0,11049.0,2.0,0,10,2720.0,0,29,47.5815,-122.19200000000001,2750.0,11049,No,0,1,0,0,0,0,0,0,0,0,0,0,1,0
67,287000.0,4.0,2.5,2240.0,4648.0,2.0,0,7,2240.0,0,13,47.3378,-122.257,2221.0,4557,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,204000.0,3.0,1.0,1000.0,12070.0,1.0,0,7,1000.0,0,50,47.3621,-122.11,1010.0,12635,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,1129575.0,5.0,2.25,3200.0,20158.0,1.0,0,8,1600.0,1600,53,47.6303,-122.215,3390.0,20158,No,0,1,0,0,0,0,0,0,0,0,0,0,1,0
70,1040000.0,5.0,3.25,4770.0,50094.0,1.0,0,10,3070.0,1700,45,47.6525,-122.16,3530.0,38917,No,0,1,0,0,0,0,0,0,0,0,1,0,0,0
71,325000.0,3.0,2.0,1260.0,5612.0,1.0,0,7,1260.0,0,46,47.7362,-122.179,1640.0,4745,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,571000.0,4.0,2.0,2750.0,7807.0,1.5,0,7,2250.0,500,102,47.7168,-122.287,1510.0,7807,No,0,0,1,0,0,0,1,0,0,0,0,0,0,0
73,360000.0,4.0,2.5,2380.0,5000.0,2.0,0,8,2380.0,0,13,47.3608,-122.036,2420.0,5000,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
74,349000.0,3.0,1.75,1790.0,50529.0,1.0,0,7,1090.0,700,53,47.3511,-122.073,1940.0,50529,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,832500.0,4.0,4.0,3430.0,35102.0,2.0,0,10,2390.0,1040,32,47.5822,-121.98700000000001,3240.0,35020,No,0,1,0,0,0,0,0,0,0,0,1,0,0,0
76,380000.0,4.0,1.75,1760.0,7300.0,1.0,0,7,880.0,880,62,47.6034,-122.125,1680.0,7500,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
77,480000.0,3.0,1.0,1040.0,5060.0,1.0,0,7,1040.0,0,77,47.5636,-122.39399999999999,890.0,5060,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
78,410000.0,3.0,1.0,1410.0,5060.0,1.0,0,7,910.0,500,62,47.7073,-122.34,1130.0,5693,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
79,720000.0,4.0,2.5,3450.0,39683.0,2.0,0,10,3450.0,0,16,47.342,-122.025,3350.0,39750,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
80,390000.0,3.0,2.5,2350.0,5100.0,2.0,0,8,2350.0,0,15,47.3512,-122.008,2350.0,5363,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
81,360000.0,4.0,2.5,1900.0,5889.0,2.0,0,7,1900.0,0,26,47.349,-122.031,1870.0,6405,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
82,355000.0,2.0,1.0,2020.0,6720.0,1.0,0,7,1010.0,1010,70,47.5474,-122.291,1720.0,6720,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
83,356000.0,3.0,1.5,1680.0,8712.0,1.0,0,8,1680.0,0,54,47.4811,-122.149,1850.0,8797,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
84,315000.0,3.0,1.0,960.0,6634.0,1.0,0,6,960.0,0,66,47.7264,-122.31,1570.0,7203,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
85,940000.0,3.0,1.5,2140.0,3600.0,2.0,0,9,1900.0,240,93,47.6337,-122.365,2020.0,4800,No,0,1,0,0,0,0,0,0,0,0,1,0,0,0
86,305000.0,5.0,2.25,2660.0,8400.0,1.5,0,7,2660.0,0,57,47.2909,-122.189,1590.0,8165,No,0,0,1,0,0,1,0,0,0,0,0,0,0,0
87,461000.0,3.0,3.25,2770.0,6278.0,2.0,0,9,1980.0,790,12,47.5228,-122.199,1900.0,7349,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
88,215000.0,2.0,2.25,1610.0,2040.0,2.0,0,7,1610.0,0,39,47.518,-122.194,1950.0,2025,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
89,335000.0,2.0,1.75,1030.0,1066.0,2.0,0,7,765.0,265,12,47.5394,-122.387,1030.0,1106,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
91,1100000.0,5.0,2.75,3520.0,6353.0,2.0,0,10,3520.0,0,17,47.6506,-122.391,2520.0,6250,No,0,1,0,0,0,0,0,0,0,1,0,0,0,0
92,153000.0,3.0,1.0,1200.0,10500.0,1.0,0,7,1200.0,0,56,47.321999999999996,-122.351,1350.0,10500,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,430000.0,3.0,1.5,1580.0,5000.0,1.0,0,8,1290.0,290,79,47.687,-122.38600000000001,1570.0,4500,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
94,700000.0,3.0,1.5,1580.0,5000.0,1.0,0,8,1290.0,290,79,47.687,-122.38600000000001,1570.0,4500,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
95,905000.0,4.0,2.5,3300.0,10250.0,1.0,0,7,2390.0,910,72,47.5873,-122.249,1950.0,6045,No,26,1,0,0,1,0,0,0,0,0,0,0,1,0
96,247500.0,3.0,1.75,1960.0,15681.0,1.0,0,7,1960.0,0,51,47.3576,-122.277,1750.0,15616,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,199000.0,4.0,1.5,1160.0,6400.0,1.0,0,7,1160.0,0,43,47.3036,-122.37799999999999,1160.0,6400,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,314000.0,3.0,1.75,1810.0,41800.0,1.0,0,7,1210.0,600,38,47.4109,-121.958,1650.0,135036,No,0,0,1,0,0,1,0,0,0,0,0,0,0,0
99,437500.0,3.0,2.5,2320.0,36847.0,2.0,2,9,2320.0,0,26,47.4838,-121.714,2550.0,35065,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
100,850830.0,3.0,2.5,2070.0,13241.0,1.5,0,9,1270.0,800,108,47.6415,-122.315,2200.0,4500,No,0,0,1,0,0,0,0,0,0,0,1,0,0,0
101,555000.0,3.0,2.0,1980.0,3478.0,1.5,0,7,1440.0,540,89,47.6775,-122.37200000000001,1610.0,3478,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
102,699950.0,3.0,2.25,2190.0,107593.0,2.0,0,8,2190.0,0,35,47.7731,-122.08,2570.0,47777,No,0,1,0,0,0,0,0,0,0,1,0,0,0,0
103,1090000.0,3.0,2.5,2920.0,8113.0,2.0,0,8,2920.0,0,68,47.5814,-122.196,2370.0,8113,No,7,1,0,0,1,0,0,0,0,0,0,0,1,0
104,290000.0,3.0,1.0,1210.0,33919.0,1.0,0,7,1210.0,0,64,47.4375,-122.184,1640.0,14910,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
105,375000.0,3.0,2.5,2340.0,10005.0,1.0,0,8,1460.0,880,40,47.4431,-122.133,2250.0,8162,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
106,460000.0,3.0,1.0,1670.0,4005.0,1.5,0,7,1170.0,500,79,47.6878,-122.38,1240.0,4005,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
107,188500.0,2.0,1.75,1240.0,2493.0,1.0,0,8,1240.0,0,33,47.3813,-122.322,1270.0,4966,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,680000.0,4.0,2.5,3140.0,28037.0,2.0,0,10,3140.0,0,27,47.7304,-122.08200000000001,2990.0,35001,No,0,1,0,0,0,0,0,0,0,1,0,0,0,0
109,470000.0,5.0,1.75,2030.0,12342.0,2.0,0,7,2030.0,0,76,47.6417,-122.109,2500.0,9433,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
110,597750.0,4.0,2.5,2310.0,9624.0,2.0,0,8,2310.0,0,34,47.5386,-122.053,1940.0,9636,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
111,570000.0,3.0,1.75,1260.0,3328.0,1.0,0,6,700.0,560,113,47.6823,-122.34899999999999,1380.0,3536,No,0,0,1,0,0,0,0,1,0,0,0,0,0,0
112,272500.0,3.0,1.75,1540.0,12600.0,1.0,0,7,1160.0,380,38,47.3624,-122.031,1540.0,11656,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
113,329950.0,3.0,1.75,2080.0,5969.0,1.0,2,7,1080.0,1000,47,47.5474,-122.295,2090.0,5500,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
114,480000.0,4.0,2.5,3230.0,16171.0,2.0,3,9,2520.0,710,17,47.3183,-122.25299999999999,2640.0,8517,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,740500.0,3.0,3.5,4380.0,6350.0,2.0,0,8,2780.0,1600,118,47.6981,-122.368,1830.0,6350,No,18,1,0,0,1,0,0,1,0,0,0,0,0,0
116,518500.0,3.0,3.5,1590.0,1102.0,3.0,0,8,1590.0,0,8,47.6824,-122.34700000000001,1620.0,3166,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
117,205425.0,2.0,1.0,880.0,6780.0,1.0,0,6,880.0,0,73,47.5009,-122.24799999999999,1190.0,6780,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,171800.0,4.0,2.0,1570.0,9600.0,1.0,0,6,1570.0,0,68,47.4965,-122.303,1880.0,9000,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,535000.0,4.0,1.0,1610.0,2982.0,1.5,0,7,1610.0,0,93,47.586999999999996,-122.294,1610.0,4040,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
120,660000.0,3.0,2.5,2400.0,6474.0,1.0,2,8,1560.0,840,54,47.7728,-122.38600000000001,2340.0,10856,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
121,391500.0,3.0,2.0,1450.0,9132.0,1.0,0,7,1450.0,0,31,47.7288,-122.226,1580.0,9104,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
122,395000.0,2.0,1.0,770.0,6000.0,1.0,0,6,770.0,0,65,47.6999,-122.36399999999999,1710.0,6000,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
123,445000.0,4.0,1.75,2100.0,4400.0,1.5,0,7,1720.0,380,94,47.5299,-122.266,1850.0,4400,No,0,0,1,0,0,0,1,0,0,0,0,0,0,0
124,770000.0,3.0,2.25,2910.0,10204.0,2.0,0,9,2910.0,0,28,47.6897,-122.098,2700.0,13992,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
125,1129575.0,4.0,2.75,2750.0,17789.0,1.5,0,8,1980.0,770,104,47.6141,-122.212,3060.0,11275,No,24,1,0,0,1,0,0,0,0,0,0,0,1,0
126,445000.0,3.0,2.25,2100.0,8201.0,1.0,2,8,1620.0,480,51,47.5091,-122.244,2660.0,8712,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,260000.0,4.0,2.25,2160.0,8811.0,1.0,0,8,1360.0,800,40,47.3129,-122.39,2090.0,8400,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,822500.0,5.0,3.5,2320.0,4960.0,2.0,0,7,1720.0,600,92,47.6763,-122.352,1700.0,4960,No,0,0,1,0,0,0,0,1,0,0,0,0,0,0
129,430000.0,4.0,2.5,2070.0,4310.0,2.0,0,7,2070.0,0,14,47.5319,-121.85,1970.0,3748,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
130,212000.0,3.0,1.75,1060.0,7875.0,1.0,0,7,1060.0,0,32,47.2761,-122.152,1420.0,7680,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
131,660500.0,4.0,2.25,2010.0,9603.0,1.0,0,8,1440.0,570,32,47.5343,-122.054,2060.0,9793,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
132,784000.0,3.0,3.5,3950.0,111078.0,1.5,0,9,2460.0,1490,29,47.696999999999996,-122.072,2480.0,88500,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
133,453246.0,3.0,2.5,2010.0,2287.0,2.0,0,8,1390.0,620,4,47.5517,-121.99799999999999,1690.0,1662,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0
134,675000.0,4.0,3.5,2140.0,2278.0,3.0,0,9,2140.0,0,13,47.6734,-122.38,1540.0,2285,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
135,199000.0,3.0,1.75,1320.0,17390.0,1.0,0,7,1320.0,0,62,47.3257,-122.296,1550.0,19265,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,220000.0,4.0,1.75,2020.0,7840.0,1.0,0,7,1010.0,1010,50,47.3309,-122.29899999999999,1750.0,8140,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,452000.0,4.0,2.25,2590.0,10002.0,1.0,0,8,1340.0,1250,50,47.7689,-122.266,1550.0,10436,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
138,382500.0,2.0,1.0,1190.0,4440.0,1.0,0,6,1190.0,0,37,47.7135,-122.287,1060.0,5715,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0
139,519950.0,3.0,2.25,1170.0,1249.0,3.0,0,8,1170.0,0,4,47.6722,-122.381,1350.0,1310,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
140,665000.0,2.0,1.0,1110.0,3200.0,1.0,0,7,1110.0,0,93,47.6338,-122.35799999999999,1170.0,3600,No,0,1,0,0,0,0,0,0,0,0,1,0,0,0
141,527700.0,5.0,2.5,2820.0,9375.0,1.0,0,8,1550.0,1270,50,47.5707,-122.12799999999999,2820.0,9375,No,0,1,0,0,0,0,0,0,0,0,1,0,0,0
142,205000.0,3.0,1.0,1610.0,8579.0,1.0,0,7,1010.0,600,56,47.4563,-122.171,1610.0,8579,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
143,420000.0,3.0,1.0,1060.0,8097.0,1.0,0,7,940.0,120,95,47.7144,-122.351,1560.0,7940,No,0,1,0,0,0,1,0,0,0,0,0,0,0,0
144,500000.0,4.0,2.25,2030.0,8517.0,1.0,0,8,1380.0,650,57,47.5495,-122.17399999999999,2230.0,8824,No,0,1,0,0,0,0,0,0,0,0,1,0,0,0
145,921500.0,4.0,2.5,3670.0,315374.0,2.0,0,9,3670.0,0,24,47.7421,-122.02600000000001,2840.0,87991,No,0,1,0,0,0,0,0,0,0,1,0,0,0,0
